datetimeobject,gradient,gradientLCI,gradientUCI,pvalue,rsquared,intercept,STUSPS,prevailingPTR,continuousPTR,rank,prevailingTPC
2021-01-01,0.16063515504548576,0.13590500460824298,0.19541486525722326,1.4903219902100248e-21,0.9954639658562561,-4682.313610316987,OH,16.063515504548576,9.034463774300162,29.0,6.225287358279936
2021-01-01,0.15645171677059144,0.12851537384584663,0.21995700506419683,4.082359596929016e-18,0.9911540041082206,-5294.977657574411,KY,15.645171677059144,8.287852448219278,30.0,6.391748333873011
2021-01-01,0.15514103649638916,0.11878070377359208,0.2694333723282953,2.7816175962284417e-14,0.9752658896924511,-1460.1250044737862,TX,15.514103649638916,12.608793232658826,31.0,6.445747834250641
2021-01-01,0.15371188562281962,0.11587579754307398,0.19620712035622004,1.069081095907402e-18,0.9891592932576654,-786.2929973444516,MN,15.371188562281962,13.902960281847438,32.0,6.505677787687896
2021-01-01,0.1434585531557859,0.13519596493199149,0.1970623796359405,5.783379826815602e-19,0.9943962585892766,-1924.0860216726433,GA,14.34585531557859,10.653383580315992,33.0,6.970654436435521
2021-01-01,0.1232164824772215,0.10560548326956336,0.1786979987868259,1.3321066820792244e-18,0.9928590302105827,-1506.103416365615,MT,12.32164824772215,10.302694959126518,34.0,8.115797334052818
2021-01-01,0.12162128596656183,0.11042014513822539,0.13558995452956316,3.9762386780806137e-22,0.998040261755483,-4412.806935922505,CA,12.162128596656183,6.934921750842021,35.0,8.222244914224445
2021-01-01,0.11943230641858979,0.11112279848052745,0.1425519997807688,1.1106373885368516e-22,0.9969114478321249,-1416.8050985156606,SC,11.943230641858978,9.691300498799094,36.0,8.372943887520444
2021-01-01,0.1159942993520372,0.10458688177542325,0.15105283503253591,6.318229129312557e-18,0.9921088641492576,-1786.7238954576233,VA,11.59942993520372,8.157353600214119,37.0,8.621113327001074
2021-01-01,0.11401094057864708,0.09315451501341564,0.1217725343019305,2.69081730367719e-21,0.9945710151456059,-4837.823719620905,WV,11.401094057864707,5.719358092904725,38.0,8.771088063344058
2021-01-01,0.10972459493207876,0.09874411687768841,0.14270821335529468,1.3886382800436918e-17,0.9927584321231764,-3211.1603356869346,LA,10.972459493207875,7.481285810627068,39.0,9.113726969044777
2021-01-01,0.10640048467712142,0.09938315318122748,0.13264811772390583,3.66797658380917e-21,0.9965815173109693,-1926.8463450465715,NC,10.640048467712141,7.769830027002767,40.0,9.39845342842713
2021-01-01,0.09074463850103298,0.06776094453762359,0.12863789441914242,1.099165005331498e-17,0.98947658964323,-1739.2010419016933,NM,9.074463850103298,7.267027542630301,41.0,11.01993480296488
2021-01-01,0.08035662911114899,0.07391518140316364,0.12243596299062263,1.685415201306461e-16,0.9869267450853252,-2213.8128226553035,VT,8.0356629111149,2.81722261075805,42.0,12.444524005814177
2021-01-01,0.07831124215724669,0.06585307875037937,0.09253276703484715,5.220704464864196e-21,0.9953614062773091,-1075.2772117997247,MI,7.831124215724669,6.515667610616197,43.0,12.769558654069478
2021-01-01,0.07579391865501331,0.07148022446612147,0.08731726418652695,1.137509357491465e-23,0.9979451798194667,-347.82748487899516,IL,7.579391865501331,7.256929425895902,44.0,13.193670649905842
2021-01-01,0.07204631235764923,0.03675466471284165,0.09393481052048129,3.330045714050111e-14,0.9747040194430129,-934.205369973808,NJ,7.204631235764923,6.196313633478658,45.0,13.879960920634531
2021-01-01,0.06742716269840524,0.04698990263432099,0.07883808087071467,5.929278803248432e-17,0.9884271103154295,-189.69767837639347,WA,6.742716269840524,6.415081095204483,46.0,14.83081832277145
2021-01-01,0.06238589928691925,0.04218806991953064,0.07671680083935016,3.163309448895711e-16,0.9853206648915803,-3374.699178082265,ME,6.238589928691924,2.177498373691868,47.0,16.02926320579104
2021-01-01,0.061403456720690516,0.058252229245897,0.06866562493471354,5.0719968192024474e-23,0.9979980109499632,-2248.8848474674014,CT,6.140345672069052,4.298106808329127,48.0,16.285728090989377
2021-01-01,0.05960640718436887,0.0544751062967697,0.07885879923851366,2.948440139170528e-19,0.9945874773401184,-2775.163840656617,NY,5.960640718436887,3.884484165482128,49.0,16.776719940641534
2021-01-01,0.052990580419311525,0.03159337494509497,0.06321999133809669,1.9683293054523518e-14,0.9763109788456149,-636.0681980163063,OR,5.299058041931152,4.294126295392942,50.0,18.871278481704778
2021-01-01,0.039701691162158534,0.031448378123530595,0.050059321448231275,3.833196217838458e-18,0.9885165208468536,-718.7946226695494,AK,3.9701691162158532,3.5634724671761706,51.0,25.187843911121472
2021-01-01,0.03386120311552907,0.0315931457840962,0.04362367523590605,7.355563815031697e-20,0.9950275614401872,-214.74451582938946,DC,3.386120311552907,3.234760069091962,52.0,29.532323366897455
