datetimeobject,STUSPS,positiveRate,testRate,ndays,label
2020-08-10,AL,2101.083275462786,15919.591041333337,201.0,
2020-08-11,AL,2118.0314428274683,15983.263939663708,202.0,
2020-08-12,AL,2137.1006804760577,16229.675200915322,203.0,
2020-08-13,AL,2152.8251534461783,16368.177011473153,204.0,
2020-08-14,AL,2168.162123191354,16825.471606720937,205.0,
2020-08-15,AL,2194.0840494494905,17070.883517550326,206.0,
2020-08-16,AL,2211.4809047588456,17262.738403711057,207.0,
2020-08-17,AL,2223.1263964137597,17395.28490154869,208.0,
2020-08-18,AL,2250.8022846374347,17708.06118879871,209.0,
2020-08-19,AL,2273.583395282862,18056.548957463365,210.0,
2020-08-20,AL,2293.3868495681886,18289.723924347134,211.0,
2020-08-21,AL,2299.9336145790953,18296.27068935804,212.0,
2020-08-22,AL,2335.869439966063,18687.48578729948,213.0,
2020-08-23,AL,2346.6379506382077,18797.353149024562,214.0,
2020-08-24,AL,2380.28954648866,18831.004744875016,215.0,
2020-08-25,AL,2391.139636787109,18911.72778510295,216.0,
2020-08-26,AL,2432.1741888180845,19246.367412202475,217.0,
2020-08-27,AL,2468.2527785510847,19422.620194832543,218.0,
2020-08-28,AL,2491.9516599924336,19446.319076273892,219.0,
2020-08-29,AL,2526.704580797991,19481.07199707945,220.0,
2020-08-30,AL,2554.15612504933,19508.52354133079,221.0,
2020-08-31,AL,2570.941133161404,19525.308549442863,222.0,
2020-09-01,AL,2602.716397606862,19557.08381388832,223.0,
2020-09-02,AL,2615.4224244037296,19665.441952526777,224.0,
2020-09-03,AL,2636.7554966822586,19700.949484875648,225.0,
2020-09-04,AL,2659.3530531685014,19791.482475166653,226.0,
2020-09-05,AL,2688.1098714407062,19945.66796888145,227.0,
2020-09-06,AL,2698.5316687010586,20074.86970204061,228.0,
2020-09-07,AL,2711.9719121346634,20150.06572258644,229.0,
2020-09-08,AL,2724.8818879972914,20239.803311520984,230.0,
2020-09-09,AL,2741.422157230453,20362.254330603475,231.0,
2020-09-10,AL,2764.8355099797377,20511.93254996497,232.0,
2020-09-11,AL,2788.0449136632615,20617.65974565512,233.0,
2020-09-12,AL,2807.2773105644596,20728.750801774764,234.0,
2020-09-13,AL,2829.8952619572788,20867.803274810147,235.0,
2020-09-14,AL,2844.253276186805,20956.80664710795,236.0,
2020-09-15,AL,2858.550105696603,21067.326645843466,237.0,
2020-09-16,AL,2877.456184092585,21226.427312043088,238.0,
2020-09-17,AL,2891.1207714985258,21310.903015081014,239.0,
2020-09-18,AL,2913.677538171617,21476.958344423063,240.0,
2020-09-19,AL,2940.2113116270343,21671.8724665702,241.0,
2020-09-20,AL,2956.4864470747075,21788.449752558798,242.0,
2020-09-21,AL,2973.1694806539017,21901.927012747838,243.0,
2020-09-22,AL,2989.566985541031,22029.537943194067,244.0,
2020-09-23,AL,3001.171687382793,22140.79215856632,245.0,
2020-09-24,AL,3022.647524007354,22290.674326993576,246.0,
2020-09-25,AL,3072.6558349317843,22720.37461364399,247.0,
2020-09-26,AL,3091.6842827672217,22875.72261703362,248.0,
2020-09-27,AL,3106.572564567725,23005.576987203218,249.0,
2020-09-28,AL,3120.073992721058,23113.01735504575,250.0,
2020-09-29,AL,3131.719484375972,23183.23701838703,251.0,
2020-09-30,AL,3155.112442218681,23437.337159417806,252.0,
2020-01-22,AK,0.0,0.0,0.0,
2020-01-23,AK,0.0,0.0,1.0,
2020-01-24,AK,0.0,0.0,2.0,
2020-01-25,AK,0.0,0.0,3.0,
2020-01-26,AK,0.0,0.0,4.0,
