datetimeobject,STUSPS,positiveIncrease,testIncrease,deathIncrease,positiveCumulative,testCumulative,deathCumulative,positiveRate,testRate,deathRate,ndays,positiveIncreaseRate,testIncreaseRate,deathIncreaseRate
2020-04-24,AL,54.0,54.0,0.0,5832.0,52695.0,197.0,118.94309515141688,1074.7096020239906,4.017796595478245,93,1.1013249551057118,1.1013249551057118,0.0
2020-04-25,AL,305.0,18649.0,15.0,6137.0,71344.0,212.0,125.16354165710655,1455.0542147604058,4.323720194118721,94,6.220446505689669,380.34461273641523,0.3059235986404755
2020-04-26,AL,133.0,2207.0,4.0,6270.0,73551.0,216.0,127.87606423171876,1500.0657735737077,4.405299820422847,95,2.7125225746122164,45.01155881330197,0.08157962630412681
2020-04-27,AL,229.0,446.0,6.0,6499.0,73997.0,222.0,132.54649783763003,1509.161901906618,4.527669259879038,96,4.67043360591126,9.096128332910139,0.12236943945619021
2020-04-28,AL,188.0,1830.0,20.0,6687.0,75827.0,242.0,136.38074027392398,1546.484580940756,4.9355673913996725,97,3.8342424362939598,37.32267903413801,0.40789813152063403
2020-04-29,AL,155.0,4622.0,3.0,6842.0,80449.0,245.0,139.5419507932089,1640.7498391351742,4.996752111127767,98,3.161210519284914,94.26525819441852,0.061184719728095104
2020-04-30,AL,177.0,6747.0,24.0,7019.0,87196.0,269.0,143.15184925716653,1778.3542738036604,5.4862298689525275,99,3.6098984639576113,137.60443466848588,0.48947775782476083
2020-05-01,AL,139.0,4737.0,10.0,7158.0,91933.0,279.0,145.98674127123493,1874.9649462543225,5.690178934712844,100,2.8348920140684064,96.61067245066216,0.20394906576031702
2020-05-02,AL,276.0,276.0,9.0,7434.0,92209.0,288.0,151.61573548621968,1880.5939404693072,5.87373309389713,101,5.62899421498475,5.62899421498475,0.1835541591842853
2020-05-03,AL,291.0,291.0,2.0,7725.0,92500.0,290.0,157.5506532998449,1886.5288582829323,5.914522907049194,102,5.934917813625225,5.934917813625225,0.040789813152063405
2020-05-04,AL,300.0,10617.0,6.0,8025.0,103117.0,296.0,163.6691252726544,2103.061581400661,6.036892346505383,103,6.118471972809511,216.53272311772858,0.12236943945619021
2020-05-05,AL,260.0,3649.0,17.0,8285.0,106766.0,313.0,168.97180098242265,2177.482595496601,6.383605758297922,104,5.302675709768242,74.42101409593968,0.34671341179253895
2020-05-06,AL,296.0,2750.0,27.0,8581.0,109516.0,340.0,175.00869332892805,2233.568588580688,6.934268235850779,105,6.036892346505383,56.08599308408718,0.5506624775528559
2020-05-07,AL,317.0,5657.0,9.0,8898.0,115173.0,349.0,181.4738787135301,2348.9425750812993,7.1178223950350645,106,6.46518538460205,115.37398650061134,0.1835541591842853
2020-05-08,AL,323.0,4941.0,26.0,9221.0,120114.0,375.0,188.06143353758833,2449.7138084734715,7.648089966011888,107,6.587554824058239,100.77123339217263,0.5302675709768242
2020-05-09,AL,346.0,5380.0,13.0,9567.0,125494.0,388.0,195.11807121289527,2559.4384058525225,7.9132237515003,108,7.056637675306969,109.72459737905055,0.2651337854884121
2020-05-10,AL,210.0,1927.0,5.0,9777.0,127421.0,393.0,199.40100159386193,2598.7393908245353,8.015198284380459,109,4.282930380966658,39.30098497201309,0.10197453288015851
2020-05-11,AL,232.0,2023.0,8.0,10009.0,129444.0,401.0,204.13261991950128,2639.9982868278476,8.178357536988713,110,4.731618325639355,41.25889600331213,0.16315925260825362
2020-05-12,AL,301.0,3774.0,28.0,10310.0,133218.0,429.0,210.27148679888685,2716.9686642457914,8.749414921117602,111,6.138866879385542,76.97037741794364,0.5710573841288876
2020-05-13,AL,307.0,3154.0,20.0,10617.0,136372.0,449.0,216.5327231177286,2781.2941995865954,9.157313052638234,112,6.261236318841733,64.32553534080398,0.40789813152063403
2020-05-14,AL,351.0,5613.0,18.0,10968.0,141985.0,467.0,223.69133532591573,2895.770810197861,9.524421371006804,113,7.158612208187128,114.47661061126594,0.3671083183685706
2020-05-15,AL,248.0,4078.0,9.0,11216.0,146063.0,476.0,228.74927215677155,2978.9412392149184,9.70797553019109,114,5.057936830855862,83.17042901705727,0.1835541591842853
2020-05-16,AL,307.0,7431.0,9.0,11523.0,153494.0,485.0,235.0105084756133,3130.49578998141,9.891529689375377,115,6.261236318841733,151.5545507664916,0.1835541591842853
2020-05-17,AL,248.0,2856.0,3.0,11771.0,156350.0,488.0,240.0684453064692,3188.7436431625565,9.95271440910347,116,5.057936830855862,58.24785318114654,0.061184719728095104
2020-05-18,AL,315.0,773.0,1.0,12086.0,157123.0,489.0,246.49284087791915,3204.508905945829,9.973109315679501,117,6.4243955714499865,15.765262783272506,0.020394906576031702
2020-05-19,AL,290.0,443.0,15.0,12376.0,157566.0,504.0,252.40736378496837,3213.5438495590115,10.279032914319979,118,5.914522907049194,9.034943613182044,0.3059235986404755
2020-05-20,AL,368.0,6884.0,13.0,12744.0,164450.0,517.0,259.912689404948,3353.9423864284136,10.54416669980839,119,7.505325619979666,140.39853686940222,0.2651337854884121
2020-05-21,AL,375.0,6289.0,12.0,13119.0,170739.0,529.0,267.5607793709599,3482.2059538850767,10.78890557872077,120,7.648089966011888,128.26356745666337,0.24473887891238041
2020-05-22,AL,444.0,7029.0,8.0,13563.0,177768.0,537.0,276.616117890718,3625.561752208004,10.952064831329023,121,9.055338519758076,143.35579832292683,0.16315925260825362
2020-05-23,AL,375.0,4908.0,9.0,13938.0,182676.0,546.0,284.26420785672985,3725.6599536831673,11.13561899051331,122,7.648089966011888,100.09820147516359,0.1835541591842853
2020-05-24,AL,389.0,3123.0,5.0,14327.0,185799.0,551.0,292.1978265148062,3789.3532469201145,11.237593523393468,123,7.933618658076332,63.69329323694701,0.10197453288015851
2020-05-25,AL,403.0,4516.0,11.0,14730.0,190315.0,562.0,300.416973864947,3881.4566450174734,11.461937495729817,124,8.219147350140776,92.10339809735916,0.22434397233634873
2020-05-26,AL,666.0,3444.0,13.0,15396.0,193759.0,575.0,313.99998164458407,3951.696703265326,11.727071281218228,125,13.583007779637114,70.24005824785318,0.2651337854884121
2020-05-27,AL,447.0,2035.0,6.0,15843.0,195794.0,581.0,323.11650488407025,3993.200338147551,11.84944072067442,126,9.11652323948617,41.50363488222451,0.12236943945619021
2020-05-28,AL,467.0,4687.0,9.0,16310.0,200481.0,590.0,332.64092625507703,4088.7912652694117,12.032994879858704,127,9.524421371006804,95.59092712186059,0.1835541591842853
2020-05-29,AL,513.0,8402.0,15.0,16823.0,208883.0,605.0,343.1035133285813,4260.14927032123,12.33891847849918,128,10.462587073504263,171.35800505181837,0.3059235986404755
2020-05-30,AL,536.0,3318.0,13.0,17359.0,212201.0,618.0,354.0351832533343,4327.819570340504,12.60405226398759,129,10.931669924752992,67.67030001927318,0.2651337854884121
