datetimeobject,STUSPS,deathCumulative,positiveCumulative,testCumulative,hospitalizedCumulative,icuCumulative,deathRate,positiveRate,testRate,hospitalizedRate,icuRate,ndays,positiveTestRate
2021-01-18,OH,10281.0,831066.0,8613949.0,43351.0,6371.0,87.95373467589464,7109.751820071691,73692.14909616651,370.86687597847566,54.503768468059995,362,9.647909454769236
2021-01-18,OK,2994.0,356816.0,2957816.0,20063.0,0.0,75.66393587418256,9017.402452532506,74749.499048641,507.02924029516515,0.0,362,12.063495498029628
2021-01-18,OR,1800.0,133205.0,2921513.0,7198.0,0.0,42.676914184075486,3158.2101966054306,69267.3108825894,170.6602379427641,0.0,362,4.559452585013314
2021-01-18,PA,19390.0,771845.0,4253561.0,0.0,0.0,151.46083940550176,6029.102196541491,33225.78233741647,0.0,0.0,362,18.14585473207038
2021-01-18,RI,2005.0,104443.0,693152.0,7432.0,0.0,189.26503807483945,9859.056544464069,65431.14198087338,701.5549940011007,0.0,362,15.067835049166705
2021-01-18,SC,6248.0,391464.0,3745465.0,16474.0,0.0,121.35069067732253,7603.141289261745,72745.64095034216,319.96339280061005,0.0,362,10.451679564486653
2021-01-18,SD,1667.0,105659.0,391864.0,6082.0,0.0,188.43418763614002,11943.472004467258,44295.48560518799,687.4965382141594,0.0,362,26.963181103648203
2021-01-18,TN,8430.0,687751.0,6142748.0,16061.0,0.0,123.4409900816702,10070.77869153722,89948.623362064,235.18217576532683,0.0,362,11.196145438491046
2021-01-18,TX,32084.0,2125552.0,16138982.0,0.0,0.0,110.65019890238892,7330.530843329092,55659.5676468668,0.0,0.0,362,13.170297853978647
2021-01-18,UT,1500.0,324919.0,1708055.0,12576.0,1980.0,46.78788680325818,10134.848928151898,53277.522662492775,392.2696429585166,61.7600105803008,362,19.02274809651914
2021-01-18,VT,163.0,10220.0,289574.0,0.0,0.0,26.122255360270774,1637.8493851654434,46406.907814080056,0.0,0.0,362,3.529322383915683
2021-01-18,VA,5739.0,446550.0,4936547.0,19982.0,0.0,67.23668472883722,5231.667810709578,57835.3466262567,234.104100758255,0.0,362,9.045796586156277
2021-01-18,WA,3903.0,289937.0,4246291.0,16558.0,0.0,51.25482393514919,3807.499330588099,55762.976577609166,217.44231993804775,0.0,362,6.82800589973697
2021-01-18,WV,1784.0,109809.0,1783280.0,0.0,0.0,99.54540559451875,6127.231750520465,99505.23031871827,0.0,0.0,362,6.157698174151002
2021-01-18,WI,5926.0,569335.0,3011178.0,23130.0,2127.0,101.7787406435178,9778.298903860481,51716.82495671054,397.2565425387389,36.531113963679104,362,18.907384418988183
2021-01-18,WY,522.0,49708.0,214509.0,1232.0,0.0,90.19298188019539,8588.721730461211,37063.61369758397,212.86925991647644,0.0,362,23.172920483522837
2021-01-18,PR,1703.0,87939.0,393911.0,0.0,0.0,53.323831275006306,2753.519905163112,12334.024487004704,0.0,0.0,362,22.324586010545527
