datetimeobject,variable,value
2020-04-23,6d,2008.0
2020-04-24,6d,2015.0
2020-04-25,6d,2015.0
2020-04-26,6d,2015.0
2020-04-27,6d,1839.75
2020-04-28,6d,1839.75
2020-04-29,6d,1997.75
2020-04-30,6d,2098.25
2020-05-01,6d,2098.25
2020-05-02,6d,2098.25
2020-05-03,6d,2098.25
2020-05-04,6d,2026.0
2020-05-05,6d,2026.0
2020-05-06,6d,1887.25
2020-05-07,6d,2316.75
2020-05-08,6d,2316.75
2020-05-09,6d,2316.75
2020-05-10,6d,2316.75
2020-05-11,6d,1893.75
2020-05-12,6d,1702.25
2020-05-13,6d,1640.0
2020-05-14,6d,1640.0
2020-05-15,6d,1647.5
2020-05-16,6d,1647.5
2020-05-17,6d,1647.5
2020-05-18,6d,1647.5
2020-05-19,6d,1457.75
2020-05-20,6d,1375.25
2020-05-21,6d,1372.25
2020-05-22,6d,1374.75
2020-05-23,6d,1374.75
2020-05-24,6d,1374.75
2020-05-25,6d,1374.75
2020-05-26,6d,1266.25
2020-05-27,6d,1253.5
2020-05-28,6d,1184.5
2020-05-29,6d,1214.25
2020-05-30,6d,1214.25
2020-05-31,6d,1214.25
2020-06-01,6d,1214.25
2020-06-02,6d,1124.0
2020-06-03,6d,983.0
2020-06-04,6d,951.5
2020-06-05,6d,941.25
2020-06-06,6d,941.25
2020-06-07,6d,941.25
2020-06-08,6d,871.75
2020-06-09,6d,871.75
2020-06-10,6d,869.5
2020-06-11,6d,894.75
2020-06-12,6d,894.75
2020-06-13,6d,894.75
2020-06-14,6d,894.75
2020-06-15,6d,856.75
2020-06-16,6d,761.25
2020-06-17,6d,757.5
2020-06-18,6d,722.75
2020-06-19,6d,722.75
2020-06-20,6d,722.75
2020-06-21,6d,722.75
2020-06-22,6d,691.75
2020-06-23,6d,691.75
2020-06-24,6d,694.75
2020-06-25,6d,720.0
2020-06-26,6d,720.0
2020-06-27,6d,720.0
2020-06-28,6d,720.0
2020-06-29,6d,702.0
2020-06-30,6d,626.0
2020-07-01,6d,626.0
2020-07-02,6d,671.75
2020-07-03,6d,672.0
2020-07-04,6d,672.0
2020-07-05,6d,672.0
2020-07-06,6d,672.0
2020-07-07,6d,672.0
2020-07-08,6d,822.0
2020-07-09,6d,889.5
2020-07-10,6d,889.5
2020-07-11,6d,889.5
2020-07-12,6d,889.5
2020-07-13,6d,863.75
2020-07-14,6d,829.75
2020-07-15,6d,829.75
2020-07-16,6d,832.75
2020-07-17,6d,927.75
2020-07-18,6d,931.25
2020-07-19,6d,931.25
2020-07-20,6d,931.25
2020-07-21,6d,968.25
2020-07-22,6d,1016.25
2020-07-23,6d,1038.75
2020-07-24,6d,1097.5
2020-07-25,6d,1097.5
2020-07-26,6d,1097.5
2020-07-27,6d,1102.5
2020-01-22,7d,
2020-01-23,7d,
2020-01-24,7d,
2020-01-25,7d,
2020-01-26,7d,
2020-01-27,7d,
2020-01-28,7d,0.0
2020-01-29,7d,0.0
2020-01-30,7d,0.0
2020-01-31,7d,0.0
2020-02-01,7d,0.0
2020-02-02,7d,0.0
2020-02-03,7d,0.0
2020-02-04,7d,0.0
2020-02-05,7d,0.0
2020-02-06,7d,0.0
2020-02-07,7d,0.0
2020-02-08,7d,0.0
2020-02-09,7d,0.0
2020-02-10,7d,0.0
2020-02-11,7d,0.0
2020-02-12,7d,0.0
2020-02-13,7d,0.0
2020-02-14,7d,0.0
2020-02-15,7d,0.0
2020-02-16,7d,0.0
2020-02-17,7d,0.0
2020-02-18,7d,0.0
2020-02-19,7d,0.0
2020-02-20,7d,0.0
2020-02-21,7d,0.0
2020-02-22,7d,0.0
2020-02-23,7d,0.0
2020-02-24,7d,0.0
2020-02-25,7d,0.0
2020-02-26,7d,0.0
2020-02-27,7d,0.0
2020-02-28,7d,1.0
2020-02-29,7d,1.5
2020-03-01,7d,2.0
2020-03-02,7d,2.5
2020-03-03,7d,3.0
2020-03-04,7d,3.0
2020-03-05,7d,3.0
2020-03-06,7d,3.5
2020-03-07,7d,3.5
2020-03-08,7d,4.0
2020-03-09,7d,4.0
2020-03-10,7d,4.0
2020-03-11,7d,5.0
2020-03-12,7d,6.0
2020-03-13,7d,5.0
2020-03-14,7d,7.0
2020-03-15,7d,8.5
2020-03-16,7d,12.0
2020-03-17,7d,18.0
2020-03-18,7d,21.5
2020-03-19,7d,26.5
2020-03-20,7d,38.5
2020-03-21,7d,53.5
2020-03-22,7d,64.5
2020-03-23,7d,82.5
2020-03-24,7d,120.0
2020-03-25,7d,187.0
2020-03-26,7d,231.5
2020-03-27,7d,271.5
2020-03-28,7d,356.0
2020-03-29,7d,458.5
2020-03-30,7d,517.5
2020-03-31,7d,548.0
2020-04-01,7d,719.0
2020-04-02,7d,924.5
2020-04-03,7d,1068.5
2020-04-04,7d,1204.0
2020-04-05,7d,1272.0
2020-04-06,7d,1272.0
2020-04-07,7d,1362.5
2020-04-08,7d,1692.0
2020-04-09,7d,1950.0
2020-04-10,7d,1964.0
2020-04-11,7d,1977.0
2020-04-12,7d,1977.0
2020-04-13,7d,1977.0
2020-04-14,7d,2018.5
2020-04-15,7d,2171.0
2020-04-16,7d,2214.0
2020-04-17,7d,2214.0
2020-04-18,7d,2214.0
2020-04-19,7d,2214.0
2020-04-20,7d,2214.0
2020-04-21,7d,2285.0
2020-04-22,7d,2109.0
2020-04-23,7d,2071.0
2020-04-24,7d,1965.0
2020-04-25,7d,1965.0
2020-04-26,7d,1965.0
2020-04-27,7d,1965.0
2020-04-28,7d,1953.5
2020-04-29,7d,1953.5
2020-04-30,7d,2079.5
2020-05-01,7d,2079.5
2020-05-02,7d,2079.5
2020-05-03,7d,2079.5
2020-05-04,7d,2079.5
2020-05-05,7d,2281.0
2020-05-06,7d,2024.5
2020-05-07,7d,2188.5
2020-05-08,7d,2188.5
2020-05-09,7d,2188.5
2020-05-10,7d,2188.5
2020-05-11,7d,2188.5
2020-05-12,7d,1855.5
2020-05-13,7d,1737.5
2020-05-14,7d,1737.5
2020-05-15,7d,1599.0
2020-05-16,7d,1599.0
2020-05-17,7d,1599.0
2020-05-18,7d,1599.0
2020-05-19,7d,1599.0
2020-05-20,7d,1447.0
2020-05-21,7d,1390.0
2020-05-22,7d,1361.5
2020-05-23,7d,1361.5
2020-05-24,7d,1361.5
2020-05-25,7d,1361.5
2020-05-26,7d,1361.5
2020-05-27,7d,1326.5
2020-05-28,7d,1272.0
2020-05-29,7d,1202.5
2020-05-30,7d,1202.5
2020-05-31,7d,1202.5
2020-06-01,7d,1202.5
2020-06-02,7d,1202.5
2020-06-03,7d,1085.0
2020-06-04,7d,975.0
2020-06-05,7d,944.0
2020-06-06,7d,923.5
2020-06-07,7d,923.5
2020-06-08,7d,923.5
2020-06-09,7d,893.0
2020-06-10,7d,886.5
2020-06-11,7d,891.5
2020-06-12,7d,891.5
2020-06-13,7d,891.5
2020-06-14,7d,891.5
2020-06-15,7d,891.5
2020-06-16,7d,828.5
2020-06-17,7d,769.5
2020-06-18,7d,748.0
2020-06-19,7d,716.5
2020-06-20,7d,716.5
2020-06-21,7d,716.5
2020-06-22,7d,716.5
2020-06-23,7d,706.0
2020-06-24,7d,706.0
2020-06-25,7d,716.0
2020-06-26,7d,716.0
2020-06-27,7d,716.0
2020-06-28,7d,716.0
2020-06-29,7d,716.0
2020-06-30,7d,680.0
2020-07-01,7d,668.5
2020-07-02,7d,666.5
2020-07-03,7d,647.0
2020-07-04,7d,647.0
2020-07-05,7d,647.0
2020-07-06,7d,647.0
2020-07-07,7d,699.0
2020-07-08,7d,797.0
2020-07-09,7d,882.0
2020-07-10,7d,882.0
2020-07-11,7d,882.0
2020-07-12,7d,882.0
2020-07-13,7d,882.0
2020-07-14,7d,860.5
2020-07-15,7d,856.0
2020-07-16,7d,856.0
2020-07-17,7d,904.5
2020-07-18,7d,911.5
2020-07-19,7d,911.5
2020-07-20,7d,911.5
2020-07-21,7d,962.5
2020-07-22,7d,1006.0
2020-07-23,7d,1038.5
2020-07-24,7d,1078.0
2020-07-25,7d,1078.0
2020-07-26,7d,1078.0
2020-07-27,7d,1088.0
2020-01-22,8d,
2020-01-23,8d,
2020-01-24,8d,
2020-01-25,8d,
2020-01-26,8d,
2020-01-27,8d,
2020-01-28,8d,
2020-01-29,8d,0.0
2020-01-30,8d,0.0
2020-01-31,8d,0.0
2020-02-01,8d,0.0
2020-02-02,8d,0.0
2020-02-03,8d,0.0
2020-02-04,8d,0.0
2020-02-05,8d,0.0
2020-02-06,8d,0.0
2020-02-07,8d,0.0
2020-02-08,8d,0.0
2020-02-09,8d,0.0
2020-02-10,8d,0.0
2020-02-11,8d,0.0
2020-02-12,8d,0.0
2020-02-13,8d,0.0
2020-02-14,8d,0.0
2020-02-15,8d,0.0
2020-02-16,8d,0.0
2020-02-17,8d,0.0
2020-02-18,8d,0.0
2020-02-19,8d,0.0
2020-02-20,8d,0.0
2020-02-21,8d,0.0
2020-02-22,8d,0.0
2020-02-23,8d,0.0
