datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveRate,deathRate
2020-05-14,1589414400000,OK,40117,177.08842208109428,12.212994626282365
2020-05-15,1589500800000,OK,40117,177.08842208109428,12.212994626282365
2020-05-16,1589587200000,OK,40117,177.08842208109428,12.212994626282365
2020-05-17,1589673600000,OK,40117,177.08842208109428,12.212994626282365
2020-05-18,1589760000000,OK,40117,177.08842208109428,12.212994626282365
2020-05-19,1589846400000,OK,40117,177.08842208109428,12.212994626282365
2020-05-20,1589932800000,OK,40117,177.08842208109428,12.212994626282365
2020-05-21,1590019200000,OK,40117,177.08842208109428,12.212994626282365
2020-05-22,1590105600000,OK,40117,177.08842208109428,12.212994626282365
2020-05-23,1590192000000,OK,40117,177.08842208109428,12.212994626282365
2020-05-24,1590278400000,OK,40117,177.08842208109428,12.212994626282365
2020-05-25,1590364800000,OK,40117,177.08842208109428,12.212994626282365
2020-05-26,1590451200000,OK,40117,177.08842208109428,12.212994626282365
2020-05-27,1590537600000,OK,40117,183.19491939423546,12.212994626282365
2020-05-28,1590624000000,OK,40117,183.19491939423546,12.212994626282365
2020-05-29,1590710400000,OK,40117,183.19491939423546,12.212994626282365
2020-05-30,1590796800000,OK,40117,189.30141670737663,12.212994626282365
2020-05-31,1590883200000,OK,40117,189.30141670737663,12.212994626282365
2020-06-01,1590969600000,OK,40117,189.30141670737663,12.212994626282365
2020-06-02,1591056000000,OK,40117,189.30141670737663,12.212994626282365
2020-06-03,1591142400000,OK,40117,189.30141670737663,12.212994626282365
2020-06-04,1591228800000,OK,40117,195.40791402051784,12.212994626282365
2020-06-05,1591315200000,OK,40117,195.40791402051784,12.212994626282365
2020-06-06,1591401600000,OK,40117,201.514411333659,12.212994626282365
2020-06-07,1591488000000,OK,40117,207.6209086468002,12.212994626282365
2020-06-08,1591574400000,OK,40117,207.6209086468002,12.212994626282365
2020-06-09,1591660800000,OK,40117,207.6209086468002,12.212994626282365
2020-06-10,1591747200000,OK,40117,213.72740595994136,12.212994626282365
2020-06-11,1591833600000,OK,40117,213.72740595994136,12.212994626282365
2020-06-12,1591920000000,OK,40117,219.83390327308254,12.212994626282365
2020-06-13,1592006400000,OK,40117,250.36638983878845,12.212994626282365
2020-06-14,1592092800000,OK,40117,250.36638983878845,12.212994626282365
2020-06-15,1592179200000,OK,40117,250.36638983878845,12.212994626282365
2020-06-16,1592265600000,OK,40117,250.36638983878845,12.212994626282365
2020-06-17,1592352000000,OK,40117,250.36638983878845,12.212994626282365
2020-06-18,1592438400000,OK,40117,250.36638983878845,12.212994626282365
2020-06-19,1592524800000,OK,40117,280.8988764044944,12.212994626282365
2020-06-20,1592611200000,OK,40117,287.00537371763556,12.212994626282365
2020-06-21,1592697600000,OK,40117,293.11187103077674,12.212994626282365
2020-06-22,1592784000000,OK,40117,305.3248656570591,12.212994626282365
2020-06-23,1592870400000,OK,40117,311.43136297020027,12.212994626282365
2020-06-24,1592956800000,OK,40117,311.43136297020027,12.212994626282365
2020-06-25,1593043200000,OK,40117,311.43136297020027,12.212994626282365
2020-06-26,1593129600000,OK,40117,311.43136297020027,12.212994626282365
2020-06-27,1593216000000,OK,40117,311.43136297020027,12.212994626282365
2020-06-28,1593302400000,OK,40117,323.6443575964826,12.212994626282365
2020-06-29,1593388800000,OK,40117,329.75085490962385,12.212994626282365
2020-06-30,1593475200000,OK,40117,341.9638495359062,12.212994626282365
2020-07-01,1593561600000,OK,40117,348.0703468490474,12.212994626282365
2020-07-02,1593648000000,OK,40117,348.0703468490474,12.212994626282365
2020-07-03,1593734400000,OK,40117,348.0703468490474,12.212994626282365
2020-07-04,1593820800000,OK,40117,354.17684416218856,12.212994626282365
2020-07-05,1593907200000,OK,40117,354.17684416218856,12.212994626282365
2020-07-06,1593993600000,OK,40117,354.17684416218856,12.212994626282365
2020-07-07,1594080000000,OK,40117,366.3898387884709,12.212994626282365
2020-07-08,1594166400000,OK,40117,372.4963361016121,12.212994626282365
2020-07-09,1594252800000,OK,40117,396.92232535417685,18.319491939423546
2020-07-10,1594339200000,OK,40117,415.2418172936004,18.319491939423546
