datetimeobject,epochmilli,STUSPS,positiveRate,deathRate,label
2021-03-23,1616457600000.0,MS,10188.93879305102,234.43046702298844,
2021-03-24,1616544000000.0,MS,10201.94217426614,234.56486889601294,
2021-03-25,1616630400000.0,MS,10212.492721298564,234.76647170554966,
2021-03-26,1616716800000.0,MS,10221.531247259461,235.13607685636708,
2021-03-27,1616803200000.0,MS,10228.553745124993,235.20327779287933,
2021-03-28,1616889600000.0,MS,10235.139436903193,235.23687826113542,
2021-03-29,1616976000000.0,MS,10237.726672958916,235.23687826113542,
2021-03-30,1617062400000.0,MS,10243.371551625944,235.64008388020898,
2021-03-31,1617148800000.0,MS,10253.048486483709,236.27849277707537,
2021-04-01,1617235200000.0,MS,10262.154213381118,236.81610026917338,
2021-04-02,1617321600000.0,MS,10271.696746365858,236.9169016739417,
2021-04-03,1617408000000.0,MS,10281.440882160134,237.0513035469662,
2021-04-04,1617494400000.0,MS,10284.700127580978,237.0513035469662,
2021-04-05,1617580800000.0,MS,10287.052160358908,237.0513035469662,
2021-04-06,1617667200000.0,MS,10293.201046049779,237.6561119755765,
2021-04-07,1617753600000.0,MS,10302.273172478932,237.790513848601,
2021-04-08,1617840000000.0,MS,10310.337284860401,237.95851618988164,
2021-04-09,1617926400000.0,MS,10318.468598178384,238.0929180629061,
2021-04-10,1618012800000.0,MS,10326.263906813805,238.39532227721128,
2021-04-11,1618099200000.0,MS,10330.12796066326,238.4289227454674,
2021-04-12,1618185600000.0,MS,10332.412792504676,238.4289227454674,
2021-04-13,1618272000000.0,MS,10342.728136259306,239.16813304710212,
2021-04-14,1618358400000.0,MS,10351.430657537645,239.2689344518705,
2021-04-15,1618444800000.0,MS,10364.90444530835,239.4705372614073,
2021-04-16,1618531200000.0,MS,10372.162146451674,239.8737428804808,
2021-04-17,1618617600000.0,MS,10381.603878031643,240.34414943606654,
2021-04-18,1618704000000.0,MS,10386.139941246221,240.34414943606654,
2021-04-19,1618790400000.0,MS,10387.920766063797,240.34414943606654,
2021-04-20,1618876800000.0,MS,10399.210523397855,240.61295318211555,
2021-04-21,1618963200000.0,MS,10406.737028287225,240.68015411862783,
2021-04-22,1619049600000.0,MS,10417.354776256161,241.01615880118905,
2021-04-23,1619136000000.0,MS,10424.343673653435,241.0833597377013,
2021-04-24,1619222400000.0,MS,10424.343673653435,241.0833597377013,
2021-04-25,1619308800000.0,MS,10424.343673653435,241.0833597377013,
2021-04-26,1619395200000.0,MS,10445.310365845258,241.1841611424697,
2021-04-27,1619481600000.0,MS,10450.988844980544,241.52016582503094,
2021-04-28,1619568000000.0,MS,10461.740994822503,241.68816816631158,
2021-04-29,1619654400000.0,MS,10468.931495029314,241.75536910282383,
2021-04-30,1619740800000.0,MS,10477.869219585444,241.8897709758483,
2021-05-01,1619827200000.0,MS,10477.869219585444,241.8897709758483,
2021-05-02,1619913600000.0,MS,10477.869219585444,241.8897709758483,
2021-05-03,1620000000000.0,MS,10494.63585324525,242.15857472189734,
2021-05-04,1620086400000.0,MS,10501.120743618683,242.6289812774831,
2021-05-05,1620172800000.0,MS,10506.765622285711,242.69618221399534,
2021-05-06,1620259200000.0,MS,10514.460129516365,242.79698361876373,
2021-05-07,1620345600000.0,MS,10522.457040961322,242.86418455527598,
2021-05-08,1620432000000.0,MS,10522.457040961322,242.86418455527598,
2021-05-09,1620518400000.0,MS,10522.457040961322,242.86418455527598,
2021-05-10,1620604800000.0,MS,10539.559679303691,243.0657873648127,
2021-05-11,1620691200000.0,MS,10548.497403859821,243.23378970609335,
2021-05-12,1620777600000.0,MS,10555.486301257095,243.36819157911785,
2021-05-13,1620864000000.0,MS,10567.649670765812,243.4689929838862,
2021-05-14,1620950400000.0,MS,10574.403364885293,243.7041962616791,
2021-05-15,1621036800000.0,MS,10574.403364885293,243.7041962616791,
2021-05-16,1621123200000.0,MS,10574.403364885293,243.7041962616791,
2021-05-17,1621209600000.0,MS,10584.987512385973,243.8049976664475,
2021-05-18,1621296000000.0,MS,10605.349396149184,244.14100234900872,
2021-05-19,1621382400000.0,MS,10614.085517895777,244.17460281726486,
2021-05-20,1621468800000.0,MS,10623.35924713447,244.54420796808228,
2021-05-21,1621555200000.0,MS,10626.887296301362,244.57780843633836,
2021-05-22,1621641600000.0,MS,10626.887296301362,244.57780843633836,
2021-05-23,1621728000000.0,MS,10626.887296301362,244.57780843633836,
2021-05-24,1621814400000.0,MS,10643.049121532558,244.7794112458751,
2021-05-25,1621900800000.0,MS,10648.324395048769,245.1826168649486,
2021-05-26,1621987200000.0,MS,10653.498867160213,245.31701873797311,
2021-05-27,1622073600000.0,MS,10660.588565962255,245.3842196744854,
2021-05-28,1622160000000.0,MS,10664.990227303808,245.58582248402215,
2021-05-29,1622246400000.0,MS,10664.990227303808,245.58582248402215,
2021-05-30,1622332800000.0,MS,10664.990227303808,245.58582248402215,
