datetimeobject,STUSPS,range,midpoint,median,score,rank
2020-02-16,DC,0.0,0.0,0.0,0.0,1.0
2020-02-16,DE,0.0,0.0,0.0,0.0,1.0
2020-02-16,FL,0.0,0.0,0.0,0.0,1.0
2020-02-16,GA,0.0,0.0,0.0,0.0,1.0
2020-02-16,HI,0.0,0.0,0.0,0.0,1.0
2020-02-16,IA,0.0,0.0,0.0,0.0,1.0
2020-02-16,ID,0.0,0.0,0.0,0.0,1.0
2020-02-16,IL,0.0,0.0,0.0,0.0,1.0
2020-02-16,IN,0.0,0.0,0.0,0.0,1.0
2020-02-16,KS,0.0,0.0,0.0,0.0,1.0
2020-02-16,KY,0.0,0.0,0.0,0.0,1.0
2020-02-16,LA,0.0,0.0,0.0,0.0,1.0
2020-02-16,MA,0.0,0.0,0.0,0.0,1.0
2020-02-16,MD,0.0,0.0,0.0,0.0,1.0
2020-02-16,ME,0.0,0.0,0.0,0.0,1.0
2020-02-16,MI,0.0,0.0,0.0,0.0,1.0
2020-02-16,MN,0.0,0.0,0.0,0.0,1.0
2020-02-16,MO,0.0,0.0,0.0,0.0,1.0
2020-02-16,MS,0.0,0.0,0.0,0.0,1.0
2020-02-16,MT,0.0,0.0,0.0,0.0,1.0
2020-02-16,NC,0.0,0.0,0.0,0.0,1.0
2020-02-16,ND,0.0,0.0,0.0,0.0,1.0
2020-02-16,NE,0.0,0.0,0.0,0.0,1.0
2020-02-16,NH,0.0,0.0,0.0,0.0,1.0
2020-02-16,NJ,0.0,0.0,0.0,0.0,1.0
2020-02-16,NM,0.0,0.0,0.0,0.0,1.0
2020-02-16,NV,0.0,0.0,0.0,0.0,1.0
2020-02-16,NY,0.0,0.0,0.0,0.0,1.0
2020-02-16,OH,0.0,0.0,0.0,0.0,1.0
2020-02-16,OK,0.0,0.0,0.0,0.0,1.0
2020-02-16,OR,0.0,0.0,0.0,0.0,1.0
2020-02-16,PA,0.0,0.0,0.0,0.0,1.0
2020-02-16,PR,0.0,0.0,0.0,0.0,1.0
2020-02-16,RI,0.0,0.0,0.0,0.0,1.0
2020-02-16,SC,0.0,0.0,0.0,0.0,1.0
2020-02-16,SD,0.0,0.0,0.0,0.0,1.0
2020-02-16,TN,0.0,0.0,0.0,0.0,1.0
2020-02-16,TX,0.0,0.0,0.0,0.0,1.0
2020-02-16,UT,0.0,0.0,0.0,0.0,1.0
2020-02-16,VA,0.0,0.0,0.0,0.0,1.0
2020-02-16,VT,0.0,0.0,0.0,0.0,1.0
2020-02-16,WA,0.0,0.0,0.0,0.0,1.0
2020-02-16,WI,0.0,0.0,0.0,0.0,1.0
2020-02-16,WV,0.0,0.0,0.0,0.0,1.0
2020-02-16,WY,0.0,0.0,0.0,0.0,1.0
2020-02-17,AK,0.0,0.0,0.0,0.0,1.0
2020-02-17,AL,0.0,0.0,0.0,0.0,1.0
2020-02-17,AR,0.0,0.0,0.0,0.0,1.0
2020-02-17,AZ,0.0,0.0,0.0,0.0,1.0
2020-02-17,CA,0.0,0.0,0.0,0.0,1.0
2020-02-17,CO,0.0,0.0,0.0,0.0,1.0
2020-02-17,CT,0.0,0.0,0.0,0.0,1.0
2020-02-17,DC,0.0,0.0,0.0,0.0,1.0
2020-02-17,DE,0.0,0.0,0.0,0.0,1.0
2020-02-17,FL,0.0,0.0,0.0,0.0,1.0
2020-02-17,GA,0.0,0.0,0.0,0.0,1.0
2020-02-17,HI,0.0,0.0,0.0,0.0,1.0
2020-02-17,IA,0.0,0.0,0.0,0.0,1.0
2020-02-17,ID,0.0,0.0,0.0,0.0,1.0
2020-02-17,IL,0.0,0.0,0.0,0.0,1.0
2020-02-17,IN,0.0,0.0,0.0,0.0,1.0
2020-02-17,KS,0.0,0.0,0.0,0.0,1.0
2020-02-17,KY,0.0,0.0,0.0,0.0,1.0
2020-02-17,LA,0.0,0.0,0.0,0.0,1.0
2020-02-17,MA,0.0,0.0,0.0,0.0,1.0
2020-02-17,MD,0.0,0.0,0.0,0.0,1.0
2020-02-17,ME,0.0,0.0,0.0,0.0,1.0
2020-02-17,MI,0.0,0.0,0.0,0.0,1.0
2020-02-17,MN,0.0,0.0,0.0,0.0,1.0
2020-02-17,MO,0.0,0.0,0.0,0.0,1.0
2020-02-17,MS,0.0,0.0,0.0,0.0,1.0
2020-02-17,MT,0.0,0.0,0.0,0.0,1.0
2020-02-17,NC,0.0,0.0,0.0,0.0,1.0
2020-02-17,ND,0.0,0.0,0.0,0.0,1.0
2020-02-17,NE,0.0,0.0,0.0,0.0,1.0
2020-02-17,NH,0.0,0.0,0.0,0.0,1.0
2020-02-17,NJ,0.0,0.0,0.0,0.0,1.0
2020-02-17,NM,0.0,0.0,0.0,0.0,1.0
2020-02-17,NV,0.0,0.0,0.0,0.0,1.0
2020-02-17,NY,0.0,0.0,0.0,0.0,1.0
2020-02-17,OH,0.0,0.0,0.0,0.0,1.0
2020-02-17,OK,0.0,0.0,0.0,0.0,1.0
2020-02-17,OR,0.0,0.0,0.0,0.0,1.0
2020-02-17,PA,0.0,0.0,0.0,0.0,1.0
2020-02-17,PR,0.0,0.0,0.0,0.0,1.0
2020-02-17,RI,0.0,0.0,0.0,0.0,1.0
2020-02-17,SC,0.0,0.0,0.0,0.0,1.0
2020-02-17,SD,0.0,0.0,0.0,0.0,1.0
2020-02-17,TN,0.0,0.0,0.0,0.0,1.0
2020-02-17,TX,0.0,0.0,0.0,0.0,1.0
2020-02-17,UT,0.0,0.0,0.0,0.0,1.0
2020-02-17,VA,0.0,0.0,0.0,0.0,1.0
2020-02-17,VT,0.0,0.0,0.0,0.0,1.0
2020-02-17,WA,0.0,0.0,0.0,0.0,1.0
2020-02-17,WI,0.0,0.0,0.0,0.0,1.0
2020-02-17,WV,0.0,0.0,0.0,0.0,1.0
2020-02-17,WY,0.0,0.0,0.0,0.0,1.0
2020-02-18,AK,0.0,0.0,0.0,0.0,1.0
2020-02-18,AL,0.0,0.0,0.0,0.0,1.0
2020-02-18,AR,0.0,0.0,0.0,0.0,1.0
2020-02-18,AZ,0.0,0.0,0.0,0.0,1.0
2020-02-18,CA,0.0,0.0,0.0,0.0,1.0
2020-02-18,CO,0.0,0.0,0.0,0.0,1.0
2020-02-18,CT,0.0,0.0,0.0,0.0,1.0
2020-02-18,DC,0.0,0.0,0.0,0.0,1.0
2020-02-18,DE,0.0,0.0,0.0,0.0,1.0
2020-02-18,FL,0.0,0.0,0.0,0.0,1.0
2020-02-18,GA,0.0,0.0,0.0,0.0,1.0
2020-02-18,HI,0.0,0.0,0.0,0.0,1.0
2020-02-18,IA,0.0,0.0,0.0,0.0,1.0
2020-02-18,ID,0.0,0.0,0.0,0.0,1.0
2020-02-18,IL,0.0,0.0,0.0,0.0,1.0
2020-02-18,IN,0.0,0.0,0.0,0.0,1.0
2020-02-18,KS,0.0,0.0,0.0,0.0,1.0
2020-02-18,KY,0.0,0.0,0.0,0.0,1.0
2020-02-18,LA,0.0,0.0,0.0,0.0,1.0
2020-02-18,MA,0.0,0.0,0.0,0.0,1.0
2020-02-18,MD,0.0,0.0,0.0,0.0,1.0
2020-02-18,ME,0.0,0.0,0.0,0.0,1.0
2020-02-18,MI,0.0,0.0,0.0,0.0,1.0
2020-02-18,MN,0.0,0.0,0.0,0.0,1.0
2020-02-18,MO,0.0,0.0,0.0,0.0,1.0
2020-02-18,MS,0.0,0.0,0.0,0.0,1.0
2020-02-18,MT,0.0,0.0,0.0,0.0,1.0
2020-02-18,NC,0.0,0.0,0.0,0.0,1.0
2020-02-18,ND,0.0,0.0,0.0,0.0,1.0
2020-02-18,NE,0.0,0.0,0.0,0.0,1.0
2020-02-18,NH,0.0,0.0,0.0,0.0,1.0
2020-02-18,NJ,0.0,0.0,0.0,0.0,1.0
2020-02-18,NM,0.0,0.0,0.0,0.0,1.0
2020-02-18,NV,0.0,0.0,0.0,0.0,1.0
2020-02-18,NY,0.0,0.0,0.0,0.0,1.0
2020-02-18,OH,0.0,0.0,0.0,0.0,1.0
2020-02-18,OK,0.0,0.0,0.0,0.0,1.0
2020-02-18,OR,0.0,0.0,0.0,0.0,1.0
2020-02-18,PA,0.0,0.0,0.0,0.0,1.0
2020-02-18,PR,0.0,0.0,0.0,0.0,1.0
2020-02-18,RI,0.0,0.0,0.0,0.0,1.0
2020-02-18,SC,0.0,0.0,0.0,0.0,1.0
2020-02-18,SD,0.0,0.0,0.0,0.0,1.0
2020-02-18,TN,0.0,0.0,0.0,0.0,1.0
2020-02-18,TX,0.0,0.0,0.0,0.0,1.0
2020-02-18,UT,0.0,0.0,0.0,0.0,1.0
2020-02-18,VA,0.0,0.0,0.0,0.0,1.0
2020-02-18,VT,0.0,0.0,0.0,0.0,1.0
2020-02-18,WA,0.0,0.0,0.0,0.0,1.0
2020-02-18,WI,0.0,0.0,0.0,0.0,1.0
2020-02-18,WV,0.0,0.0,0.0,0.0,1.0
2020-02-18,WY,0.0,0.0,0.0,0.0,1.0
2020-02-19,AK,0.0,0.0,0.0,0.0,1.0
2020-02-19,AL,0.0,0.0,0.0,0.0,1.0
2020-02-19,AR,0.0,0.0,0.0,0.0,1.0
2020-02-19,AZ,0.0,0.0,0.0,0.0,1.0
2020-02-19,CA,0.0,0.0,0.0,0.0,1.0
2020-02-19,CO,0.0,0.0,0.0,0.0,1.0
2020-02-19,CT,0.0,0.0,0.0,0.0,1.0
2020-02-19,DC,0.0,0.0,0.0,0.0,1.0
2020-02-19,DE,0.0,0.0,0.0,0.0,1.0
2020-02-19,FL,0.0,0.0,0.0,0.0,1.0
2020-02-19,GA,0.0,0.0,0.0,0.0,1.0
2020-02-19,HI,0.0,0.0,0.0,0.0,1.0
2020-02-19,IA,0.0,0.0,0.0,0.0,1.0
2020-02-19,ID,0.0,0.0,0.0,0.0,1.0
2020-02-19,IL,0.0,0.0,0.0,0.0,1.0
2020-02-19,IN,0.0,0.0,0.0,0.0,1.0
2020-02-19,KS,0.0,0.0,0.0,0.0,1.0
2020-02-19,KY,0.0,0.0,0.0,0.0,1.0
2020-02-19,LA,0.0,0.0,0.0,0.0,1.0
2020-02-19,MA,0.0,0.0,0.0,0.0,1.0
2020-02-19,MD,0.0,0.0,0.0,0.0,1.0
2020-02-19,ME,0.0,0.0,0.0,0.0,1.0
2020-02-19,MI,0.0,0.0,0.0,0.0,1.0
2020-02-19,MN,0.0,0.0,0.0,0.0,1.0
2020-02-19,MO,0.0,0.0,0.0,0.0,1.0
2020-02-19,MS,0.0,0.0,0.0,0.0,1.0
2020-02-19,MT,0.0,0.0,0.0,0.0,1.0
2020-02-19,NC,0.0,0.0,0.0,0.0,1.0
2020-02-19,ND,0.0,0.0,0.0,0.0,1.0
2020-02-19,NE,0.0,0.0,0.0,0.0,1.0
2020-02-19,NH,0.0,0.0,0.0,0.0,1.0
2020-02-19,NJ,0.0,0.0,0.0,0.0,1.0
2020-02-19,NM,0.0,0.0,0.0,0.0,1.0
2020-02-19,NV,0.0,0.0,0.0,0.0,1.0
2020-02-19,NY,0.0,0.0,0.0,0.0,1.0
2020-02-19,OH,0.0,0.0,0.0,0.0,1.0
