datetimeobject,epochmilli,STUSPS,positiveRate,deathRate
2020-01-25,1579910400000,AL,0.0,0.0
2020-01-25,1579910400000,AK,0.0,0.0
2020-01-25,1579910400000,AZ,0.0,0.0
2020-01-25,1579910400000,AR,0.0,0.0
2020-01-25,1579910400000,CA,0.0,0.0
2020-01-25,1579910400000,CO,0.0,0.0
2020-01-25,1579910400000,CT,0.0,0.0
2020-01-25,1579910400000,DE,0.0,0.0
2020-01-25,1579910400000,DC,0.0,0.0
2020-01-25,1579910400000,FL,0.0,0.0
2020-01-25,1579910400000,GA,0.0,0.0
2020-01-25,1579910400000,HI,0.0,0.0
2020-01-25,1579910400000,ID,0.0,0.0
2020-01-25,1579910400000,IL,0.007891525614195465,0.0
2020-01-25,1579910400000,IN,0.0,0.0
2020-01-25,1579910400000,IA,0.0,0.0
2020-01-25,1579910400000,KS,0.0,0.0
2020-01-25,1579910400000,KY,0.0,0.0
2020-01-25,1579910400000,LA,0.0,0.0
2020-01-25,1579910400000,ME,0.0,0.0
2020-01-25,1579910400000,MD,0.0,0.0
2020-01-25,1579910400000,MA,0.0,0.0
2020-01-25,1579910400000,MI,0.0,0.0
2020-01-25,1579910400000,MN,0.0,0.0
2020-01-25,1579910400000,MS,0.0,0.0
2020-01-25,1579910400000,MO,0.0,0.0
2020-01-25,1579910400000,MT,0.0,0.0
2020-01-25,1579910400000,NE,0.0,0.0
2020-01-25,1579910400000,NV,0.0,0.0
2020-01-25,1579910400000,NH,0.0,0.0
2020-01-25,1579910400000,NJ,0.0,0.0
2020-01-25,1579910400000,NM,0.0,0.0
2020-01-25,1579910400000,NY,0.0,0.0
2020-01-25,1579910400000,NC,0.0,0.0
2020-01-25,1579910400000,ND,0.0,0.0
2020-01-25,1579910400000,OH,0.0,0.0
2020-01-25,1579910400000,OK,0.0,0.0
2020-01-25,1579910400000,OR,0.0,0.0
2020-01-25,1579910400000,PA,0.0,0.0
2020-01-25,1579910400000,RI,0.0,0.0
2020-01-25,1579910400000,SC,0.0,0.0
2020-01-25,1579910400000,SD,0.0,0.0
2020-01-25,1579910400000,TN,0.0,0.0
2020-01-25,1579910400000,TX,0.0,0.0
2020-01-25,1579910400000,UT,0.0,0.0
2020-01-25,1579910400000,VT,0.0,0.0
2020-01-25,1579910400000,VA,0.0,0.0
2020-01-25,1579910400000,WA,0.0,0.0
2020-01-25,1579910400000,WV,0.0,0.0
2020-01-25,1579910400000,WI,0.0,0.0
2020-01-25,1579910400000,WY,0.0,0.0
2020-01-25,1579910400000,PR,0.0,0.0
2020-01-26,1579996800000,AL,0.0,0.0
