datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveIncrease,positiveCumulative,deathIncrease,deathCumulative,positiveRate,deathRate,positiveIncreaseRate,deathIncreaseRate,ndays
2020-05-25,1590364800000,DC,11001,115.0,8225.0,8.0,440.0,1165.4285022012075,62.345111363955176,16.294745015579196,1.1335474793446394,124
2020-05-26,1590451200000,DC,11001,109.0,8334.0,0.0,440.0,1180.8730866072783,62.345111363955176,15.444584406070714,0.0,125
2020-05-27,1590537600000,DC,11001,72.0,8406.0,5.0,445.0,1191.0750139213799,63.05357853854558,10.201927314101756,0.7084671745903998,126
2020-05-28,1590624000000,DC,11001,86.0,8492.0,8.0,453.0,1203.2606493243347,64.18712601789021,12.185635402954876,1.1335474793446394,127
2020-05-29,1590710400000,DC,11001,46.0,8538.0,7.0,460.0,1209.7785473305664,65.17898006231678,6.517898006231677,0.9918540444265596,128
2020-05-30,1590796800000,DC,11001,179.0,8717.0,2.0,462.0,1235.1416721809028,65.46236693215293,25.363124850336312,0.28338686983615985,129
2020-05-31,1590883200000,DC,11001,84.0,8801.0,4.0,466.0,1247.0439207140216,66.02914067182525,11.902248533118714,0.5667737396723197,130
2020-06-01,1590969600000,DC,11001,56.0,8857.0,2.0,468.0,1254.978753069434,66.31252754166141,7.9348323554124764,0.28338686983615985,131
2020-06-02,1591056000000,DC,11001,29.0,8886.0,2.0,470.0,1259.0878626820584,66.59591441149757,4.1091096126243185,0.28338686983615985,132
2020-06-03,1591142400000,DC,11001,130.0,9016.0,3.0,473.0,1277.5080092214089,67.0209947162518,18.42014653935039,0.4250803047542398,133
2020-06-04,1591228800000,DC,11001,104.0,9120.0,2.0,475.0,1292.244126452889,67.30438158608797,14.736117231480314,0.28338686983615985,134
2020-06-05,1591315200000,DC,11001,79.0,9199.0,4.0,479.0,1303.4379078114173,67.8711553257603,11.193781358528316,0.5667737396723197,135
2020-06-06,1591401600000,DC,11001,70.0,9269.0,4.0,483.0,1313.356448255683,68.43792906543261,9.918540444265595,0.5667737396723197,136
2020-06-07,1591488000000,DC,11001,63.0,9332.0,6.0,489.0,1322.283134655522,69.28808967494109,8.926686399839037,0.8501606095084796,137
2020-06-08,1591574400000,DC,11001,57.0,9389.0,2.0,491.0,1330.3596604458526,69.57147654477725,8.076525790330557,0.28338686983615985,138
2020-06-09,1591660800000,DC,11001,85.0,9474.0,4.0,495.0,1342.4036024138895,70.13825028444957,12.043941968036794,0.5667737396723197,139
2020-06-10,1591747200000,DC,11001,63.0,9537.0,4.0,499.0,1351.3302888137284,70.7050240241219,8.926686399839037,0.5667737396723197,140
2020-06-11,1591833600000,DC,11001,52.0,9589.0,3.0,502.0,1358.6983474294686,71.13010432887613,7.368058615740157,0.4250803047542398,141
2020-06-12,1591920000000,DC,11001,65.0,9654.0,4.0,506.0,1367.9084206991438,71.69687806854844,9.210073269675195,0.5667737396723197,142
2020-06-13,1592006400000,DC,11001,55.0,9709.0,5.0,511.0,1375.7015596196381,72.40534524313885,7.793138920494397,0.7084671745903998,143
2020-06-14,1592092800000,DC,11001,58.0,9767.0,4.0,515.0,1383.9197788448869,72.97211898281117,8.218219225248637,0.5667737396723197,144
2020-06-15,1592179200000,DC,11001,32.0,9799.0,0.0,515.0,1388.4539687622653,72.97211898281117,4.534189917378558,0.0,145
2020-06-16,1592265600000,DC,11001,19.0,9818.0,5.0,520.0,1391.146144025709,73.68058615740156,2.6921752634435188,0.7084671745903998,146
2020-06-17,1592352000000,DC,11001,29.0,9847.0,3.0,523.0,1395.2552536383332,74.10566646215581,4.1091096126243185,0.4250803047542398,147
2020-06-18,1592438400000,DC,11001,56.0,9903.0,4.0,527.0,1403.1900859937457,74.67244020182814,7.9348323554124764,0.5667737396723197,148
