STUSPS,COUNTYGEOID,Population,riskType,risk
AR,05045,113237,Total Kidney (hazard quotient),0.005209317424289
AR,05047,18125,Total Kidney (hazard quotient),0.00214757368176
AR,05049,12245,Total Kidney (hazard quotient),0.001865041580609
AR,05051,96024,Total Kidney (hazard quotient),0.003756493117771
AR,05053,17853,Total Kidney (hazard quotient),0.00302370137052
AR,05055,42090,Total Kidney (hazard quotient),0.007879893474768
AR,05057,22609,Total Kidney (hazard quotient),0.002851614089535
AR,05059,32923,Total Kidney (hazard quotient),0.003494495742091
AR,05061,13781,Total Kidney (hazard quotient),0.004065523051353
AR,05063,36647,Total Kidney (hazard quotient),0.00286747664383
AR,05065,13696,Total Kidney (hazard quotient),0.001652238286323
AR,05067,17997,Total Kidney (hazard quotient),0.002865288461992
AR,05069,77435,Total Kidney (hazard quotient),0.00394089045435
AR,05071,25540,Total Kidney (hazard quotient),0.002610526807678
AR,05073,7645,Total Kidney (hazard quotient),0.00194327873138
AR,05075,17415,Total Kidney (hazard quotient),0.002373203426804
AR,05077,10424,Total Kidney (hazard quotient),0.002075915865109
AR,05079,14134,Total Kidney (hazard quotient),0.001860915008836
AR,05081,13171,Total Kidney (hazard quotient),0.006682095730095
AR,05083,22353,Total Kidney (hazard quotient),0.002410665784852
AR,05085,68356,Total Kidney (hazard quotient),0.003485263707073
AR,05087,15717,Total Kidney (hazard quotient),0.001673972279171
AR,05089,16653,Total Kidney (hazard quotient),0.002280168331674
AR,05091,43462,Total Kidney (hazard quotient),0.004053248678085
AR,05093,46480,Total Kidney (hazard quotient),0.004775046703211
AR,05095,8149,Total Kidney (hazard quotient),0.002119707401925
AR,05097,9487,Total Kidney (hazard quotient),0.001896963278546
AR,05099,8997,Total Kidney (hazard quotient),0.002486718943969
AR,05101,8330,Total Kidney (hazard quotient),0.001512632289509
AR,05103,26120,Total Kidney (hazard quotient),0.003943766345586
AR,05105,10445,Total Kidney (hazard quotient),0.002517235623328
AR,05107,21757,Total Kidney (hazard quotient),0.002719285085811
AR,05109,11291,Total Kidney (hazard quotient),0.002221240639807
AR,05111,24583,Total Kidney (hazard quotient),0.002841079212663
AR,05113,20662,Total Kidney (hazard quotient),0.002014877690018
AR,05115,61754,Total Kidney (hazard quotient),0.004402272338571
AR,05117,8715,Total Kidney (hazard quotient),0.002283602111337
AR,05119,382748,Total Kidney (hazard quotient),0.007574279399696
AR,05121,17969,Total Kidney (hazard quotient),0.002555051158578
AR,05123,28258,Total Kidney (hazard quotient),0.002740477471446
AR,05125,107118,Total Kidney (hazard quotient),0.005575034789263
AR,05127,11233,Total Kidney (hazard quotient),0.002511873722853
AR,05129,8195,Total Kidney (hazard quotient),0.001452452494645
AR,05131,125744,Total Kidney (hazard quotient),0.009193543676312
AR,05133,17058,Total Kidney (hazard quotient),0.002761011335347
AR,05135,17264,Total Kidney (hazard quotient),0.002053682881203
AR,05137,12394,Total Kidney (hazard quotient),0.001806322318185
AR,05139,41639,Total Kidney (hazard quotient),0.004138085732178
AR,05141,17295,Total Kidney (hazard quotient),0.002043244131834
AR,05143,203065,Total Kidney (hazard quotient),0.006543059095631
AR,05145,77076,Total Kidney (hazard quotient),0.003968939073449
AR,05147,7260,Total Kidney (hazard quotient),0.002329013842942
AR,05149,22185,Total Kidney (hazard quotient),0.002787248404865
CA,06001,1510122,Total Kidney (hazard quotient),0.003525048548656
