datetimeobject,epochmilli,STUSPS,COUNTYGEOID,deathCumulative,positiveCumulative,deathRate,positiveRate,ndays,deathPositiveRate
2020-11-08,1604793600000,AL,01133,14.0,1039.0,59.24922764399678,4397.139108722333,291,1.3474494706448508
2020-11-08,1604793600000,AK,02013,0.0,19.0,0.0,569.3736889421637,291,0.0
2020-11-08,1604793600000,AK,02016,0.0,103.0,0.0,1828.186013489528,291,0.0
2020-11-08,1604793600000,AK,02020,51.0,10209.0,17.708333333333336,3544.791666666667,291,0.49955921245959445
2020-11-08,1604793600000,AK,02050,1.0,672.0,5.438920918089851,3654.95485695638,291,0.1488095238095238
2020-11-08,1604793600000,AK,02060,0.0,0.0,0.0,0.0,291,0.0
2020-11-08,1604793600000,AK,02068,0.0,33.0,0.0,1573.6766809728183,291,0.0
2020-11-08,1604793600000,AK,02070,0.0,70.0,0.0,1423.9218877135884,291,0.0
2020-11-08,1604793600000,AK,02090,16.0,2533.0,16.520562938182117,2615.411620150957,291,0.6316620607974732
2020-11-08,1604793600000,AK,02100,0.0,15.0,0.0,592.8853754940711,291,0.0
2020-11-08,1604793600000,AK,02105,0.0,0.0,0.0,0.0,291,0.0
2020-11-08,1604793600000,AK,02110,3.0,655.0,9.382623381497467,2048.5394382936133,291,0.4580152671755726
2020-11-08,1604793600000,AK,02122,4.0,1362.0,6.813381481229134,2319.9563943585204,291,0.29368575624082227
2020-11-08,1604793600000,AK,02130,0.0,134.0,0.0,963.9594273793251,291,0.0
2020-11-08,1604793600000,AK,02150,0.0,143.0,0.0,1100.1692568087399,291,0.0
2020-11-08,1604793600000,AK,02158,0.0,327.0,0.0,3933.1248496511907,291,0.0
2020-11-08,1604793600000,AK,02164,0.0,117.0,0.0,7349.246231155779,291,0.0
2020-11-08,1604793600000,AK,02170,3.0,1946.0,2.769648346981545,1796.5785610753624,291,0.1541623843782117
2020-11-08,1604793600000,AK,02180,0.0,153.0,0.0,1529.388244702119,291,0.0
2020-11-08,1604793600000,AK,02185,0.0,319.0,0.0,3244.507729861676,291,0.0
